site_id,country,latitude,longitude,As_ugL,Pb_ugL,Cd_ugL,Cr_ugL,Hg_ugL,HPI,HEI,MI,risk_category,water_safe
S0001,USA,38.4901,-95.4148,5.392,1.936,0.405,23.033,0.112,28.81,1.44,0.54,Low,Yes
S0002,USA,35.5916,-93.3723,2.091,2.825,1.078,23.356,0.275,31.86,1.59,0.47,Low,Yes
S0003,USA,41.3969,-95.6773,2.198,14.86,5.277,33.969,0.283,88.54,4.43,1.76,Moderate,Borderline
S0004,USA,35.1949,-89.4432,1.732,1.206,0.766,14.351,0.428,25.28,1.26,0.43,Low,Yes
S0005,USA,39.2154,-94.4859,1.531,1.271,1.0,29.862,0.269,29.6,1.48,0.6,Low,Yes
S0006,USA,37.9723,-96.1552,1.447,5.633,0.31,26.206,1.287,52.45,2.62,1.29,Low,Yes
S0007,USA,32.4755,-91.7011,1.381,2.951,1.448,19.166,0.528,36.54,1.83,0.53,Low,Yes
S0008,USA,41.4863,-93.9855,3.963,10.863,0.357,14.431,0.645,50.7,2.54,1.09,Low,Yes
S0009,USA,41.4337,-96.5548,12.318,1.967,1.755,31.144,0.212,56.97,2.85,1.23,Low,Yes
S0010,USA,41.1156,-94.4733,6.377,1.66,1.069,70.43,0.35,58.37,2.92,1.41,Low,Yes
S0011,USA,35.9719,-97.4068,6.657,4.113,0.955,33.873,0.398,49.42,2.47,0.68,Low,Yes
S0012,USA,37.1807,-87.6103,1.309,6.45,0.561,34.57,0.503,43.15,2.16,0.69,Low,Yes
S0013,USA,39.3731,-97.7282,3.207,4.801,0.463,14.623,0.124,27.43,1.37,0.48,Low,Yes
S0014,USA,32.348,-94.7943,4.871,5.146,1.986,15.232,0.655,52.47,2.62,0.66,Low,Yes
S0015,USA,39.4406,-98.6926,5.903,4.178,0.468,32.013,0.303,42.15,2.11,0.64,Low,Yes
S0016,USA,38.5658,-94.109,6.323,4.852,0.591,54.059,1.129,70.49,3.52,1.13,Moderate,Borderline
S0017,USA,42.5973,-93.5785,4.912,5.273,0.886,24.489,0.495,45.97,2.3,0.53,Low,Yes
S0018,USA,36.2638,-97.2612,2.591,6.838,1.906,28.844,0.446,52.02,2.6,0.68,Low,Yes
S0019,USA,38.877,-97.5715,15.164,2.063,2.017,87.133,0.357,89.89,4.49,1.74,Moderate,Borderline
S0020,USA,34.4596,-99.5445,6.107,2.017,1.985,22.102,0.469,47.7,2.39,0.66,Low,Yes
S0021,USA,37.1746,-98.4289,6.264,5.182,0.947,29.281,0.62,53.32,2.67,0.63,Low,Yes
S0022,USA,38.5451,-83.4418,5.79,5.212,1.902,16.267,1.372,68.63,3.43,1.37,Moderate,Borderline
S0023,USA,31.6345,-93.9281,10.299,5.936,0.529,28.1,0.474,56.72,2.84,1.03,Low,Yes
S0024,USA,37.1367,-96.9548,4.244,5.357,1.229,28.856,1.02,59.34,2.97,1.02,Low,Yes
S0025,USA,34.6845,-90.0161,2.04,2.501,1.586,13.398,0.543,35.87,1.79,0.54,Low,Yes
S0026,USA,33.0195,-89.4689,2.486,10.929,5.053,26.11,0.159,74.14,3.71,1.68,Moderate,Borderline
S0027,USA,33.1152,-95.3154,3.603,4.695,0.382,23.776,0.614,40.93,2.05,0.61,Low,Yes
S0028,USA,36.3926,-94.8173,4.515,4.453,1.458,21.369,0.332,42.84,2.14,0.49,Low,Yes
S0029,USA,35.5407,-94.3772,2.914,1.14,0.807,25.902,0.626,36.37,1.82,0.63,Low,Yes
S0030,USA,35.1109,-92.3697,2.065,5.841,1.043,28.292,0.658,47.24,2.36,0.66,Low,Yes
S0031,USA,41.6586,-96.3186,5.527,6.415,1.788,31.866,0.107,50.69,2.53,0.64,Low,Yes
S0032,USA,36.1869,-96.8393,6.7,4.441,1.107,14.86,0.551,46.63,2.33,0.67,Low,Yes
S0033,USA,34.9026,-95.0265,4.297,6.326,0.511,27.845,0.161,39.01,1.95,0.63,Low,Yes
