Timestamp,Location,pH,Dissolved_Oxygen_mg_L,Turbidity_NTU,Conductivity_uS_cm,Arsenic_mg_L,Lead_mg_L,Cadmium_mg_L,Chromium_mg_L,Mercury_mg_L,Latitude,Longitude
1/1/2024 0:00,Location_1,6.94,5.57,5.93,1007.56,0.036,0.0187,0.0065,0.0037,0,18.658276,73.991999
1/1/2024 1:00,Location_2,8.38,5.48,8.15,341.34,0.0344,0.0166,0.0008,0.0045,0,18.560967,73.773805
1/1/2024 2:00,Location_3,7.83,9.44,7.72,1321.35,0.0048,0.0088,0.0024,0.0326,0.0028,18.588764,73.838656
1/1/2024 3:00,Location_4,7.5,5.5,1.96,958.36,0.0461,0.0304,0.0077,0.0243,0.0002,18.68669,73.965312
1/1/2024 4:00,Location_5,6.39,5.63,1.92,320.09,0.0284,0.0238,0.0053,0.0395,0.0058,18.750522,73.892836
1/1/2024 5:00,Location_6,6.39,8.56,3.05,1447.27,0.0182,0.0433,0.0093,0.0458,0.0013,18.508888,73.995428
1/1/2024 6:00,Location_7,6.15,6.7,3.93,825.71,0.0378,0.0016,0.0043,0.0194,0.0028,18.536831,74.084483
1/1/2024 7:00,Location_8,8.17,8.66,4.38,202.06,0.0129,0.0322,0.0087,0.0298,0.0004,18.772296,73.746619
1/1/2024 8:00,Location_9,7.5,4.39,6.96,977.57,0.0347,0.0381,0.0045,0.025,0.0031,18.631405,73.983827
1/1/2024 9:00,Location_10,7.77,6.93,1.04,454.48,0.002,0.038,0.0098,0.0491,0.0023,18.471585,73.792138
1/1/2024 10:00,Location_11,6.05,4.2,0.83,1225.17,0.042,0.0443,0.0096,0.0416,0.0003,18.665478,73.865791
1/1/2024 11:00,Location_12,8.42,4.38,4.22,1244.95,0.0224,0.0365,0.0033,0.0456,0.002,18.796305,73.713145
1/1/2024 12:00,Location_13,8.08,9.44,7.12,1470.53,0.0318,0.0464,0.0089,0.0127,0.0023,18.729381,73.754363
1/1/2024 13:00,Location_14,6.53,4.84,2.34,802.62,0.0111,0.0166,0.0085,0.0386,0.0059,18.698296,73.827911
1/1/2024 14:00,Location_15,6.45,7.19,6.59,736.94,0.0339,0.0252,0.0021,0.0133,0.0012,18.483219,73.836794
1/1/2024 15:00,Location_16,6.46,6.47,2.97,1154.87,0.0386,0.0007,0.0062,0.0104,0.0033,18.750456,74.059834
1/1/2024 16:00,Location_17,6.76,6.08,8.92,285.46,0.0237,0.0003,0.0007,0.0472,0.0059,18.610316,73.996725
1/1/2024 17:00,Location_18,7.31,9.4,9.01,865.68,0.0309,0.012,0.0084,0.001,0.0048,18.755716,74.088873
1/1/2024 18:00,Location_19,7.08,4.13,3.32,864.75,0.0228,0.005,0.0017,0.0483,0.006,18.531931,73.939629
1/1/2024 19:00,Location_20,6.73,7.98,2.68,225.26,0.0447,0.013,0.0007,0.0075,0.0058,18.42482,73.796685
1/1/2024 20:00,Location_21,7.53,9.78,4.41,685.18,0.0249,0.0089,0.004,0.041,0.0029,18.59039,73.831062
1/1/2024 21:00,Location_22,6.35,7.36,2.79,1294.6,0.0421,0.0014,0.0058,0.0138,0.0042,18.507935,73.827934
1/1/2024 22:00,Location_23,6.73,9.62,6.89,1298.62,0.0401,0.0455,0.0085,0.0175,0.0007,18.686092,73.830598
1/1/2024 23:00,Location_24,6.92,4.31,8.35,238.93,0.0205,0.0004,0.0097,0.0108,0.0026,18.782843,73.969186
1/2/2024 0:00,Location_25,7.14,6.51,6.89,227.01,0.0115,0.0368,0.0044,0.0293,0.0049,18.67639,73.912323
1/2/2024 1:00,Location_26,7.96,5.56,8.33,467.77,0.0203,0.0076,0.0006,0.0174,0.003,18.754774,73.85417
1/2/2024 2:00,Location_27,6.5,8.38,4.27,1324.67,0.0413,0.0456,0.0075,0.0329,0.0042,18.58121,73.759636
1/2/2024 3:00,Location_28,7.29,9.89,1.99,280.46,0.0114,0.0446,0.0057,0.0008,0.0045,18.708656,73.708856
1/2/2024 4:00,Location_29,7.48,5.54,7.51,1108,0.0262,0.0327,0.0045,0.0032,0.0015,18.737217,73.787534
1/2/2024 5:00,Location_30,6.12,7.93,3.92,241.63,0.0403,0.0336,0.0031,0.005,0.0053,18.68435,73.742989
1/2/2024 6:00,Location_31,7.52,5.19,6.88,972.39,0.0177,0.0003,0.005,0.0209,0.0028,18.603111,74.014178
1/2/2024 7:00,Location_32,6.43,7.39,3.07,598.49,0.0321,0.0492,0.0034,0.0407,0.0013,18.650346,73.744999
1/2/2024 8:00,Location_33,6.16,6.78,1.27,1204.48,0.0123,0.0439,0.0076,0.0444,0.0052,18.680203,73.989691
