SampleID,Location,Latitude,Longitude,pH,As,Pb,Cd,Cr,Hg,Fe,Mn,Zn,Cu
S1,Mumbai,19.0909,72.8736,7.16,0.025,0.024,0.005,0.052,0.003,0.26,0.12,0.12,0.05
S2,Pune,18.5277,73.7993,6.57,0.013,0.019,0.006,0.027,0.001,0.42,0.09,0.14,0.03
S3,Aurangabad,19.8599,75.3466,6.71,0.018,0.022,0.004,0.03,0.003,0.3,0.07,0.17,0.04
S4,Nagpur,21.1521,79.0294,6.67,0.017,0.031,0.005,0.035,0.002,0.18,0.08,0.12,0.08
S5,Nagpur,21.1561,79.0353,7.08,0.014,0.021,0.006,0.046,0.003,0.23,0.09,0.15,0.08
S6,Nashik,19.9831,73.7842,6.72,0.009,0.032,0.008,0.035,0.003,0.33,0.08,0.15,0.09
S7,Mumbai,19.0749,72.9246,6.5,0.021,0.027,0.004,0.037,0.0,0.28,0.11,0.2,0.05
S8,Sangli,16.8281,74.5664,7.23,0.018,0.022,0.006,0.037,0.003,0.24,0.09,0.12,0.03
S9,Mumbai,19.0849,72.8855,7.0,0.015,0.016,0.004,0.033,0.001,0.29,0.11,0.22,0.06
S10,Ahmednagar,19.1029,74.7474,6.52,0.016,0.026,0.01,0.034,0.002,0.3,0.06,0.19,0.08
S11,Solapur,17.6836,75.8791,7.35,0.008,0.03,0.009,0.026,0.002,0.31,0.08,0.08,0.06
S12,Pune,18.4885,73.8709,6.77,0.025,0.021,0.004,0.044,0.001,0.32,0.14,0.08,0.06
S13,Pune,18.5282,73.8802,6.69,0.008,0.03,0.006,0.039,0.002,0.25,0.11,0.15,0.05
S14,Mumbai,19.132,72.8919,6.7,0.02,0.019,0.007,0.048,0.001,0.38,0.11,0.17,0.1
S15,Nagpur,21.1384,79.0656,6.78,0.011,0.025,0.006,0.039,0.003,0.3,0.14,0.13,0.11
S16,Nagpur,21.1646,79.0625,6.73,0.019,0.024,0.006,0.041,0.002,0.23,0.05,0.12,0.08
S17,Sangli,16.8588,74.5441,7.04,0.018,0.02,0.005,0.037,0.001,0.33,0.12,0.18,0.08
S18,Ahmednagar,19.0539,74.7215,7.13,0.019,0.03,0.013,0.042,0.003,0.38,0.12,0.13,0.08
S19,Pune,18.4972,73.8496,6.88,0.016,0.042,0.001,0.043,0.001,0.26,0.13,0.14,0.04
S20,Sangli,16.8309,74.6019,6.82,0.017,0.026,0.004,0.057,0.003,0.14,0.11,0.11,0.08
